Item	Count
hep-ph	297989
math.CO	88728
cs.CG	8795
physics.gen-ph	18336
math.CA	32882
math.FA	43335
cond-mat.mes-hall	134408
gr-qc	162045
cond-mat.mtrl-sci	126322
astro-ph	210763
math.NT	57659
math.AG	79021
math.AT	22260
hep-th	271718
math.PR	78119
hep-ex	82230
nlin.PS	14724
physics.chem-ph	27268
q-bio.MN	5833
math.NA	41045
cond-mat.str-el	112009
cond-mat.stat-mech	115836
math.RA	25191
physics.optics	58157
physics.comp-ph	27303
q-bio.PE	14989
q-bio.CB	3331
quant-ph	204630
q-bio.QM	12134
hep-lat	46588
nucl-th	93482
math.OA	19593
math.QA	31345
math-ph	121644
math.MP	121644
nlin.CD	26054
physics.plasm-ph	21734
physics.space-ph	7872
nlin.SI	20519
cs.IT	62911
math.IT	62911
cs.NE	15301
cs.AI	46316
physics.ed-ph	5244
math.DG	63201
cond-mat.soft	59274
physics.pop-ph	3601
cs.DS	30093
math.CV	24736
math.DS	49185
physics.soc-ph	30490
nucl-ex	40293
math.RT	38060
cond-mat.other	26313
physics.flu-dyn	32840
physics.data-an	14780
cs.CE	6963
cs.MS	2817
cs.NA	12495
math.GR	31937
cond-mat.supr-con	70097
math.AC	18930
math.SG	13965
cs.CC	14627
math.KT	9106
math.GT	34299
math.AP	80425
physics.class-ph	12992
q-bio.OT	1762
physics.bio-ph	21355
q-bio.BM	7656
nlin.CG	2453
cs.DM	17823
cs.LO	20797
cond-mat.dis-nn	36565
math.MG	15567
physics.atom-ph	31503
math.SP	14179
math.ST	29388
stat.TH	29388
physics.ao-ph	7618
physics.ins-det	28162
q-fin.CP	2713
q-fin.PR	3036
physics.geo-ph	8570
q-bio.NC	11648
q-fin.RM	2769
q-bio.SC	2860
astro-ph.HE	74644
math.OC	50527
cs.CR	27391
math.CT	11147
math.LO	18277
cs.NI	27110
q-fin.GN	3989
q-fin.ST	4849
cs.LG	105316
cs.PF	4440
stat.ME	26306
stat.AP	19534
math.GM	5544
physics.atm-clus	4310
cs.SE	13949
physics.acc-ph	11259
math.GN	7312
stat.CO	9428
physics.hist-ph	6953
cs.AR	3046
cs.SC	3278
physics.med-ph	7099
stat.ML	75779
cs.CY	14860
cs.IR	14289
q-bio.GN	4437
cs.CV	77787
math.HO	5038
cs.OH	3808
cs.DB	9960
cs.DL	6142
cs.HC	10955
cs.PL	9216
nlin.AO	10549
cs.GT	12593
cs.DC	22502
cond-mat.quant-gas	29944
cs.MA	6339
cs.CL	36279
q-fin.PM	2257
cs.MM	5140
astro-ph.EP	35894
cs.RO	18306
econ.EM	2169
cs.ET	3749
q-bio.TO	2956
cs.GL	369
astro-ph.SR	84183
astro-ph.CO	100536
cs.FL	6079
cs.OS	1070
q-fin.TR	2232
astro-ph.IM	34833
cs.SD	7190
cs.GR	4018
cs.SY	22605
astro-ph.GA	81130
cs.SI	23043
stat.OT	1533
physics.app-ph	13443
econ.TH	850
econ.GN	1299
q-fin.EC	2444
eess.SY	5655
eess.IV	9971
eess.SP	15658
eess.AS	5789
q-fin.MF	2690
acc-phys	98
adap-org	1171
q-bio	2713
cond-mat	28463
chao-dyn	4801
patt-sol	1309
dg-ga	1468
solv-int	3623
bayes-an	32
comp-gas	444
alg-geom	2849
funct-an	856
q-alg	3181
ao-sci	34
atom-ph	246
chem-ph	503
plasm-ph	76
mtrl-th	526
cmp-lg	1788
supr-con	419
